V240001,version,V243001,V243002,V243050,V243051,V243052,V243053,V243054,V243060,V243061,V243062,V243063,V245001,V245010
140133,ANES2024TimeSeries_20250808,NH,NA,20240813,160900,20240813,203133,.,.,NA,.,NA,-1. Inapplicable,-1. Inapplicable
140134,ANES2024TimeSeries_20250808,OH,NA,20240812,101714,20240812,122126,.,20241119,203742,20241119,203749,-1. Inapplicable,-1. Inapplicable
140135,ANES2024TimeSeries_20250808,AZ,NA,20240812,195226,20240812,204214,.,20241123,202400,20241123,222317,-1. Inapplicable,-1. Inapplicable
140136,ANES2024TimeSeries_20250808,NV,NA,20240814,001614,20240814,021617,.,20241116,020012,20241116,020046,-1. Inapplicable,-1. Inapplicable
140139,ANES2024TimeSeries_20250808,MN,NA,20240821,130811,20240821,145819,.,20241118,130453,20241118,130515,-1. Inapplicable,-1. Inapplicable
140140,ANES2024TimeSeries_20250808,IL,NA,20240808,205539,20240808,220714,.,20241117,080040,20241117,080055,-1. Inapplicable,-1. Inapplicable
140141,ANES2024TimeSeries_20250808,NC,NA,20240816,170732,20240816,180233,.,20241118,165748,20241118,165754,-1. Inapplicable,-1. Inapplicable
140142,ANES2024TimeSeries_20250808,NJ,NA,20240809,085546,20240809,113430,.,20241119,113506,20241119,113514,-1. Inapplicable,-1. Inapplicable
140143,ANES2024TimeSeries_20250808,NH,NA,20240808,195653,20240808,204206,.,20241113,201543,20241113,201556,-1. Inapplicable,-1. Inapplicable
140144,ANES2024TimeSeries_20250808,MA,NA,20240907,140054,20240907,223339,.,20241120,150258,20241120,150310,-1. Inapplicable,-1. Inapplicable
140145,ANES2024TimeSeries_20250808,NY,NA,20240812,181353,20240812,192908,.,20241114,095259,20241114,095304,-1. Inapplicable,-1. Inapplicable
140146,ANES2024TimeSeries_20250808,MI,NA,20240816,145239,20240816,153841,.,20241113,225607,20241113,225615,-1. Inapplicable,-1. Inapplicable
140147,ANES2024TimeSeries_20250808,FL,NA,20240816,121524,20240816,150237,.,20250131,135519,20250131,154334,-1. Inapplicable,-1. Inapplicable
140149,ANES2024TimeSeries_20250808,SC,NA,20240813,084649,20240813,100343,.,20241116,214827,20241116,214846,-1. Inapplicable,-1. Inapplicable
140150,ANES2024TimeSeries_20250808,FL,NA,20240813,162523,20240813,182712,.,20241123,204229,20241123,220021,-1. Inapplicable,-1. Inapplicable
140151,ANES2024TimeSeries_20250808,IL,NA,20240815,090642,20240815,105110,.,20241114,153952,20241114,154017,-1. Inapplicable,-1. Inapplicable
140152,ANES2024TimeSeries_20250808,TN,NA,20240812,101925,20240812,112039,.,20241120,085505,20241120,085515,-1. Inapplicable,-1. Inapplicable
140155,ANES2024TimeSeries_20250808,KY,NA,20240819,092235,20240819,102826,.,20250126,191827,20250126,201750,-1. Inapplicable,-1. Inapplicable
140156,ANES2024TimeSeries_20250808,NY,NA,20240820,164426,20240826,203359,.,20250209,104633,.,-1,-1. Inapplicable,-1. Inapplicable
140157,ANES2024TimeSeries_20250808,KS,NA,20240903,231100,20240904,131152,.,20241127,100537,20241127,105228,-1. Inapplicable,-1. Inapplicable
140158,ANES2024TimeSeries_20250808,NC,NA,20240814,144838,20240814,163712,.,20241230,130247,20241230,141947,-1. Inapplicable,-1. Inapplicable
140159,ANES2024TimeSeries_20250808,CT,NA,20240827,184217,20240827,195039,.,20241126,135203,20241126,145426,-1. Inapplicable,-1. Inapplicable
140160,ANES2024TimeSeries_20250808,MO,NA,20240814,115055,20240814,130653,.,20250120,133619,20250120,144010,-1. Inapplicable,-1. Inapplicable
140161,ANES2024TimeSeries_20250808,KY,NA,20240912,170202,20240913,214626,.,20250115,180313,20250116,015116,-1. Inapplicable,-1. Inapplicable
140162,ANES2024TimeSeries_20250808,VA,NA,20241104,191831,20241104,200038,.,20241209,084937,20241209,094021,-1. Inapplicable,-1. Inapplicable
140163,ANES2024TimeSeries_20250808,MO,NA,20240820,145555,20240820,163805,.,20241119,114856,20241119,114908,-1. Inapplicable,-1. Inapplicable
140166,ANES2024TimeSeries_20250808,NC,NA,20240810,120841,20240810,123330,.,20241114,094919,20241114,094925,-1. Inapplicable,-1. Inapplicable
140167,ANES2024TimeSeries_20250808,TX,NA,20240816,095415,20240816,102412,.,20241119,181606,20241119,181616,-1. Inapplicable,-1. Inapplicable
140168,ANES2024TimeSeries_20250808,IL,NA,20240815,205457,20240818,224053,.,20241120,170245,20241120,180446,-1. Inapplicable,-1. Inapplicable
140169,ANES2024TimeSeries_20250808,AZ,NA,20240826,192304,20240826,205130,.,20241115,090247,20241115,090310,-1. Inapplicable,-1. Inapplicable
140171,ANES2024TimeSeries_20250808,KY,NA,20240818,194324,20240818,214623,.,20241114,192200,20241114,192549,-1. Inapplicable,-1. Inapplicable
140172,ANES2024TimeSeries_20250808,AL,NA,20240819,215517,20240819,230408,.,.,NA,.,NA,-1. Inapplicable,-1. Inapplicable
140173,ANES2024TimeSeries_20250808,NJ,NA,20240929,121616,20240929,135827,.,20241120,143242,20241120,143300,-1. Inapplicable,-1. Inapplicable
